Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code
ELEC,City of Sacramento - Capitol Parking Garage,1015 L St,"At 10th and L, 2nd Level",Sacramento,CA,95814,,888-758-4389  916-264-5011,E,,Public,Garage business hours; pay lot,,,,,2,,,3 SP Inductive,,,GPS,38.5783802,-121.4926,2018-09-10,1498,2018-09-10 19:53:21 UTC,LG,,,2018-08-20,,,,,NEMA520,US,,,,Public,,public,,
ELEC,Los Angeles Convention Center,1201 S Figueroa St,West hall,Los Angeles,CA,90015,,213-741-1151,E,,Public,24 hours daily; pay lot,,,,,1,2,,,,,200-9,34.04057,-118.268762,2018-05-03,1523,2018-05-03 14:44:18 UTC,P,,,1995-08-30,,,,,J1772 NEMA515,US,,,,Public,,public,,
ELEC,City of Santa Monica - Pier,200 Santa Monica Pier,,Santa Monica,CA,90405,,310-458-8516,E,,Public,24 hours daily; pay lot,,,,,1,3,,,,,200-9,34.010021,-118.49583,2018-05-03,7230,2018-05-03 14:44:18 UTC,LG,,,1998-06-30,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,Universal City Hilton,333 Universal Terrace Pkwy,,Universal City,CA,91608,,818-506-2500,E,,Public,24 hours daily; pay lot; see valet for access,,,,,1,,,,,,200-8,34.138717,-118.35904,2018-05-03,7242,2018-05-03 14:44:18 UTC,P,,,1998-05-30,,,,,NEMA520,US,,,,Public,,public,,
ELEC,Getty Center,1200 Getty Center Dr,Eight Level 2 and four Level 1 chargers located in P2 of main parking area. Eight Level 2 and eight Level 1 chargers located at Top of Hill Parking.,Los Angeles,CA,90049,,310-440-7300,E,,Public,Garage business hours; pay lot,,,,,12,16,,,,,200-9,34.077588,-118.474585,2018-05-03,21419,2018-11-09 19:30:59 UTC,P,,,2013-07-01,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,Los Angeles County - Arboretum,301 N Baldwin Ave,Located in parking lot directly across from Harvard Dr,Arcadia,CA,91007,,323-267-2023,E,,Public,24 hours daily,,,,,1,1,,,,,200-8,34.142727,-118.051275,2018-09-10,21450,2018-09-10 19:53:21 UTC,P,,,2014-06-01,,,,,J1772,US,,,,Public,,public,,
ELEC,CITY OF SB EV2,1115 Anacapa St,"STATION 3
STATION 4",Santa Barbara,CA,93101,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.chargepoint.com/,200-8,34.423495,-119.70228,2018-11-19,21557,2018-11-19 10:08:37 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,Home Depot,2745 Teller Rd,In front of garden center,Newbury Park,CA,91320,,805-375-6680,E,,Public,24 hours daily,,,,,4,2,,,,,200-8,34.18997,-118.934393,2018-05-03,21565,2018-05-03 14:44:18 UTC,P,,,2002-05-15,,,,,J1772 NEMA515,US,,,,Public,,public,,
ELEC,University of California - Davis Extension,1441 Research Park Dr,,Davis,CA,95616,,530-752-8277,E,,Public,24 hours daily,,,,,1,3,,,,,200-9,38.539118,-121.732015,2018-05-03,21673,2018-05-03 14:44:18 UTC,SG,,,2004-06-01,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,San Luis Obispo County Air Pollution Control District,3433 Roberto Ct,,San Luis Obispo,CA,93401,,805-781-5912,E,,Public,8am-5pm M-F; see front desk for code,,,,,1,1,,,,,GPS,35.25939,-120.64492,2018-09-10,21713,2018-09-10 19:53:21 UTC,LG,,,2002-07-15,,,,,J1772 NEMA520,US,,,,Public,,public,,
