date,All models,Toyota Land Cruiser,GMC Yukon,Chevrolet Suburban,Chevrolet Tahoe,GMC Yukon XL,Ford Expedition,Toyota Sequoia,Nissan Armada
1973-01,11218,11218,,,,,,,
1974-01,8204,8204,,,,,,,
1975-01,9050,9050,,,,,,,
1976-01,9236,9236,,,,,,,
1977-01,9924,9924,,,,,,,
1978-01,8858,8858,,,,,,,
1979-01,17520,5716,11804,,,,,,
1980-01,8664,3058,5606,,,,,,
1981-01,6716,2027,4689,,,,,,
1982-01,27092,3088,24004,,,,,,
1983-01,12166,4805,7361,,,,,,
1984-01,12525,4037,8488,,,,,,
1985-01,136926,4740,9094,58906,46298,17888,,,
1986-01,136965,4475,9390,61226,41893,19981,,,
1987-01,121537,5008,8598,57962,30859,19110,,,
1988-01,130465,6024,7620,66897,27180,22744,,,
1989-01,123709,5091,6723,65428,22816,23651,,,
1990-01,106121,6194,4685,55050,16072,24120,,,
1991-01,72384,8507,2397,36038,9326,16116,,,
1992-01,7865,7865,,,,,,,
1993-01,8886,8886,,,,,,,
1994-01,20039,10980,9059,,,,,,
1995-01,73656,14240,29021,,,30395,,,
1996-01,356565,12816,36566,94010,124038,43161,45974,,
1997-01,533428,11502,41072,99068,124125,43137,214524,,
1998-01,573976,14327,49355,108933,133235,42423,225703,,
1999-01,612940,18602,53280,138977,122213,46743,233125,,
2000-01,629963,15509,56297,133123,149834,51792,213483,9925,
2001-01,759271,7591,77254,154782,202319,70706,178045,68574,
2002-01,745260,6752,76488,151056,209767,67556,163454,70187,
2003-01,753370,6671,86238,135222,199065,70887,181547,67067,6673
2004-01,720207,6778,86571,119545,186161,65917,159846,58114,37275
2005-01,570845,4870,73458,87011,152305,53652,114137,45904,39508
2006-01,513349,3376,71476,77211,161491,45413,87203,34315,32864
2007-01,487103,3251,63428,83673,146256,45303,90287,23273,31632
2008-01,316406,3801,39064,54058,91578,26404,55123,30693,15685
2009-01,220745,2261,29411,41055,73254,16819,31655,16387,9903
2010-01,245740,1807,28781,45152,75675,23797,37336,13848,19344
2011-01,262941,1662,34250,49427,80527,25223,40499,13022,18331
2012-01,240445,2895,27818,48116,68904,23427,38062,13151,18072
2013-01,263948,3082,28302,51260,83502,31258,38350,13811,14383
2014-01,296245,3158,41569,55009,97726,29752,44632,11806,12593
2015-01,282724,2687,42732,50866,88342,31334,41443,12583,12737
2016-01,344235,3705,53447,60082,103306,37054,59835,12771,14035
2017-01,342525,3100,49183,56516,98961,35059,51883,12156,35667
