YEAR,Honda Civic,Toyota Corolla,Nissan Sentra,Hyundai Elantra,Chevrolet Cruze,Ford Focus,Kia Forte,Mazda Mazda3,Subaru Impreza,Volkswagon Jetta,Volkswagon Golf,Toyota Prius,Kia Niro,Hyundai Ioniq,Volkwagon Beetle,Chevrolet Bolt,Chevrolet Volt,Nissan Leaf,Mitsubishi Lancer,Toyota Mirai,Dodge Dart,Buick Verano,Mercedes-Benz B-Class
1973,32575,,,,,,,,,,,,,,,,,,,,,,
1974,43119,,,,,,,,,,,,,,,,,,,,,,
1975,102389,,,,,,,,,,,,,,,,,,,,,,
1976,132286,,,,,,,,,,,,,,,,,,,,,,
1977,147638,,,,,,,,,,,,,,,,,,,,,,
1978,154035,,,,,,,,,,,,,,,,,,,,,,
1979,155541,,,,,,,,,,,,,,,,,,,,,,
1980,138740,,,,,,,,,8157,191166,,,,,,,,,,,,
1981,154698,,,,,,,,,24773,159588,,,,,,,,,,,,
1982,132469,,,,,,,,,21561,107396,,,,,,,,,,,,
1983,137747,,,,,,,,,19154,83222,,,,,,,,,,,,
1984,136401,,,,,,,,,36636,83084,,,,,,,,,,,,
1985,150545,168378,,,,,,,,82883,77699,,,,,,,,,,,,
1986,169172,159458,,,,,,,,92875,73891,,,,,,,,,,,,
1987,173110,164300,,,,,,,,67284,45890,,,,,,,,,,,,
1988,173759,216677,,,,,,,,61058,26086,,,,,,,,,,,,
1989,196404,199975,,,,,,,,55145,22246,,,,,,,,,,,,
1990,220852,228211,,0,,,,,,57935,17122,,,,,,,,,,,,
1991,205715,199083,,3867,,,,,,37751,14339,,,,,,,,,,,,
1992,219228,196118,,32042,,,,,,29907,9359,,,,,,,,,,,,
1993,255579,193749,,35874,,,,,23577,14583,4693,,,,,,,,,,,,
1994,267023,210926,,45056,,,,,30915,55688,16394,,,,,,,,,,,,
1995,289435,213640,,38500,,,,,24413,75393,18429,,,,,,,,,,,,
1996,278562,209048,,39801,,,,,24687,85022,24208,,,,,,,,,,,,
1997,315546,218461,,41303,,,,,24242,90984,20702,,,,,,,,,,,,
1998,334562,250501,88363,37501,,,,,19041,89311,25406,,,,55842,,,,,,,,
1999,318308,249128,63134,83292,,55846,,,19356,130054,23456,,,,83434,,,,,,,,
2000,324528,230156,98803,104099,,286166,,,19220,144853,28124,5562,,,81134,,,,,,,,
2001,331780,245023,111082,111293,,264414,,,35612,145221,31271,15556,,,65201,,,,25084,,,,
2002,313159,254360,106060,120638,,243199,,,38226,145604,40157,20119,,,49549,,,,69007,,,,
2003,299672,325477,94500,120858,,229353,,2081,36525,117867,29342,24627,,,56971,,,,48159,,,,
2004,309196,333161,106934,112892,,208339,,76080,32209,91790,24669,53991,,,42157,,,,41706,,,,
2005,308415,341290,119489,116336,,184825,,97388,33637,104063,15690,107897,,,36339,,,,27849,,,,
2006,316638,387388,117922,98853,,177006,,94438,41148,103331,28699,106971,,,35110,,,,23167,,,,
2007,331095,371390,106522,85724,,173213,,120291,46333,98951,41844,181221,,,31021,,,,31376,,,,
2008,339289,351007,99797,94720,,195823,,109957,49098,97461,35408,158884,,,26477,,,,27861,,,,
2009,259722,296874,82706,103269,,160433,26328,96466,46611,108427,15752,139682,,,14085,,,,20117,,,,
2010,260218,266082,94065,132246,24495,172421,78500,106353,80467,123213,28286,140928,,,16537,,326,19,21416,,,,1
2011,221235,240259,114991,186361,231732,175717,76295,102417,68587,177360,34706,136463,,,6468,,7671,9674,19874,,,265,19
2012,317909,290944,106395,202034,237758,245922,75681,123361,149974,170424,40885,236655,,,29174,,23461,9819,16426,,25303,41042,8
2013,336180,302180,129143,247912,248224,234570,66146,104713,135681,163793,30931,234228,,,43134,,23094,22610,19451,,83388,45527,0
2014,325981,339498,183268,222023,273060,219634,69336,104985,141484,160873,33675,207372,,,29182,,18805,30200,16495,,83858,43743,774
2015,335384,,203509,241706,226602,202478,78919,107885,167304,131109,65308,184779,,,22667,,15393,17269,17691,72,87392,31886,1906
2016,366927,360483,214709,208319,188876,168789,103292,95567,143755,121107,61687,136629,,,15667,579,24739,14006,14304,1034,44050,30277,632
2017,377286,308695,218451,198210,184751,158385,117596,75018,203444,115807,68978,108661,27237,11197,15166,23297,20349,11230,12725,1838,10082,4277,744
