date,GMC Canyon,Chevrolet Colorado,Nissan Frontier,Toyota Tacoma,Honda Ridgeline
1983,40491,,,,
1984,43712,,,,
1985,49139,210051,255601,,
1986,46084,203416,216230,,
1987,49191,224807,163691,,
1988,52575,248768,128209,,
1989,52601,228691,132624,,
1990,45869,210318,134260,,
1991,44109,200247,129633,,
1995,0,207193,0,123257,
1996,44629,190178,0,141094,
1997,41714,192314,0,138558,
1998,54819,228093,91629,152770,
1999,57992,233669,96301,155476,
2000,51093,211587,108738,147295,
2001,42062,162181,89434,161983,
2002,41100,150992,75207,151960,
2003,36511,140108,65161,154154,
2004,30496,127489,70703,152932,
2005,34911,128508,72838,168831,42593
2006,23979,93880,77510,178351,50193
2007,20888,75716,64397,173238,42795
2008,14974,54346,44997,144655,33875
2009,10107,32413,28415,111824,16464
2010,7992,24642,40427,106198,16142
2011,9590,31026,51700,110705,9759
2012,8735,36840,55435,141353,14068
2013,929,3412,62837,159485,17723
2014,3070,8003,74323,155041,13389
2015,30077,84430,62817,179562,520
2016,37449,108725,86926,191631,23667
2017,32106,112996,74360,198124,34749
