date,Jeep Cherokee,Jeep Wrangler,Kia Sportage,Toyota RAV4,Honda CR-V,Subaru Forester,Nissan Xterra,Ford Escape,Mitsubishi Outlander,Chevrolet Equinox,Hyundai Tucson,Jeep Compass,Toyota FJ Cruiser,Jeep Patriot,Nissan Rogue,Dodge Journey,Volkswagen Tiguan,GMC Terrain,Mazda CX-5,Subaru Crosstrek,Kia Niro,Volkswagen Tiguan L
1984,119104,,,,,,,,,,,,,,,,,,,,,
1985,98877,37956,,,,,,,,,,,,,,,,,,,,
1986,107225,16853,,,,,,,,,,,,,,,,,,,,
1987,111945,30713,,,,,,,,,,,,,,,,,,,,
1988,149566,42076,,,,,,,,,,,,,,,,,,,,
1989,156118,50726,,,,,,,,,,,,,,,,,,,,
1990,124864,49893,,,,,,,,,,,,,,,,,,,,
1991,121461,46478,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,
1994,,74952,,,,,,,,,,,,,,,,,,,,
1995,,,8015,,,,,,,,,,,,,,,,,,,
1996,,,9908,56709,,,,,,,,,,,,,,,,,,
1997,130041,81956,19831,67487,66752,15988,,,,,,,,,,,,,,,,
1998,146298,83861,28582,64990,100582,40132,,,,,,,,,,,,,,,,
1999,165261,89174,52383,57138,120754,50183,47806,,,,,,,,,,,,,,,
2000,141457,82254,62350,53777,118260,56605,88578,42635,,,,,,,,,,,,,,
2001,74490,68830,52368,86368,118313,55041,86757,164184,,,,,,,,,,,,,,
2002,,64351,39436,86601,146266,53918,79779,145471,11346,,,,,,,,,,,,,
2003,,70093,5616,73204,143909,59761,67799,167678,34088,,,,,,,,,,,,,
2004,,77550,120,70314,149281,58424,66690,183430,18104,84024,7074,,,,,,,,,,,
2005,,79017,29009,70518,150219,53541,72447,165122,11848,130542,61048,,,,,,,,,,,
2006,,80271,37071,152047,170028,51258,62325,157395,11493,113888,52067,18579,56225,,,,,,,,,
2007,,119243,49393,172752,219160,44530,51355,165596,23285,89552,41476,39491,55170,40434,17808,,,,,,,
2008,,84615,32754,137020,197279,60748,33579,156544,13471,67447,19027,25349,28668,55654,73053,47097,8664,,,,,
2009,,82044,42509,149088,191214,77781,16455,173044,10283,86148,15411,11739,11941,31432,77222,53826,13903,14033,,,,
2010,,94310,23873,170877,203714,85080,20523,191026,12500,149979,39594,15894,14959,38620,99515,48577,20946,60519,,,,
2011,,122460,47463,132237,218373,76196,18221,254293,9788,193274,47232,47709,13541,54647,124543,55155,25990,83179,,,,
2012,,141669,36357,171875,281652,76347,17222,261008,7750,218621,48878,40235,13655,62010,142349,79563,31731,97786,43319,7396,,
2013,25786,155502,32965,218249,303904,123592,17766,295993,12287,238192,41906,52993,13131,75797,162751,83933,30002,99525,79544,53741,,
2014,178508,175328,42945,267698,335019,159953,16505,306212,13068,242242,47306,61264,14718,93462,199199,93572,25121,105016,99122,70956,,
2015,220260,202702,53739,315412,345647,175192,10672,306492,19055,277589,63591,66698,229,118464,287190,105400,35843,112030,111450,88927,,
2016,201420,191788,81066,352139,357335,178593,38,307069,26576,242195,89713,91532,9,125397,329904,106220,43638,87925,112235,95677,,
2017,169882,190522,72824,407594,377895,177563,1,308296,35409,290458,114735,83253,4,40735,403465,89470,25960,85441,127563,110138,27237,21023
