YEAR,Mitsubishi Mirage,Mini,Chevy Spark,Fiat,Smart
1985,13066,,,,
1986,14639,,,,
1987,15185,,,,
1988,12004,,,,
1989,29145,,,,
1990,50014,,,,
1991,37957,,,,
1992,22917,,,,
1993,29162,,,,
1994,0,,,,
1995,42902,,,,
1996,31337,,,,
1997,31717,,,,
1998,33072,,,,
1999,47136,,,,
2000,49369,,,,
2001,29957,,,,
2002,6830,24590,,,
2003,174,36010,,,
2004,0,36032,,,
2005,0,40820,,,
2006,0,39171,,,
2007,0,42045,,,
2008,0,54077,,,24622
2009,0,45225,,,14595
2010,0,45644,,,5927
2011,0,57511,,19769,5208
2012,0,66123,12385,43772,10009
2013,2935,66502,34130,43236,9264
2014,16708,56112,39159,46121,10453
2015,21515,58514,32853,42410,7484
2016,22226,52030,35511,33777,6211
2017,22386,47102,22589,26492,3071
