date,Range Rover,Lexus LX,Lincoln Navigator,Cadillac Escalade,Mercedes-Benz G-class,Cadillac Escalade ESV,Infiniti QX80,Mercedes-Benz GLS-class,Bentley Bentayga
1995,4428,,,,,,,,
1996,6800,7528,,,,,,,
1997,6621,6785,26831,,,,,,
1998,7070,11004,43859,5192,670,,,,
1999,7449,15734,39250,23897,945,,,,
2000,6287,14732,37923,23346,576,,,,
2001,5771,9355,31759,31270,674,,,,
2002,8549,9231,30613,36114,3114,36,,,
2003,12086,9193,38742,35621,1980,12866,,,
2004,13546,9846,36398,36994,1491,15618,13136,,
2005,13430,8555,25844,29876,1334,13502,14711,,
2006,12044,5595,23947,39017,587,16170,11694,18776,
2007,12316,2468,24050,36654,1152,16370,12288,26396,
2008,8952,7915,14836,23947,931,11054,7657,23328,
2009,7312,3616,8057,16873,662,6588,6440,15012,
2010,8746,3983,8245,16118,919,8674,11918,19943,
2011,9761,3167,8018,15079,1191,8388,13428,25139,
2012,7843,5005,8371,12615,1330,8083,15310,26042,
2013,12221,4625,8613,12592,2494,7950,13148,29912,
2014,12830,4052,10433,19482,3090,10987,12935,26597,
2015,17821,3884,11964,21230,3616,14691,15646,27707,
2016,16155,5707,10421,23604,3950,15488,16772,30442,884
2017,16869,6004,10523,22994,4188,14700,17881,32248,1152
