Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code
ELEC,City of Sacramento - Capitol Parking Garage,1015 L St,"At 10th and L, 2nd Level",Sacramento,CA,95814,,888-758-4389  916-264-5011,E,,Public,Garage business hours; pay lot,,,,,2,,,3 SP Inductive,,,GPS,38.5783802,-121.4926,2018-09-10,1498,2018-09-10 19:53:21 UTC,LG,,,2018-08-20,,,,,NEMA520,US,,,,Public,,public,,
ELEC,Los Angeles Convention Center,1201 S Figueroa St,West hall,Los Angeles,CA,90015,,213-741-1151,E,,Public,24 hours daily; pay lot,,,,,1,2,,,,,200-9,34.04057,-118.268762,2018-05-03,1523,2018-05-03 14:44:18 UTC,P,,,1995-08-30,,,,,J1772 NEMA515,US,,,,Public,,public,,
ELEC,LADWP - John Ferraro Building,111 N Hope St,Across Hope,Los Angeles,CA,90012,,800-473-3652,E,,Public,24 hours daily,,,,,,260,1,,,,200-9,34.057922,-118.2498,2018-10-04,1525,2018-10-04 21:43:30 UTC,LG,,,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,
ELEC,Cherokee & Hollywood Parking Garage,1718 N Cherokee Ave,,Los Angeles,CA,90028,,213-550-9904,E,,Public,24 hours daily; pay lot,,,,,,4,,,,,200-8,34.102404,-118.334758,2018-05-03,1526,2018-05-03 14:44:18 UTC,P,,,1995-08-15,,,,,J1772,US,,,,Public,,public,,
ELEC,CITYOFSANTAROSA,100 Santa Rosa Ave,"CITY HALL 1; Located at South end of breezeway, against building",Santa Rosa,CA,95404,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,38.4378748,-122.7108967,2018-11-18,1546,2018-11-18 10:09:00 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,California Air Resources Board,9530 Telstar Ave,,El Monte,CA,91731,,626-575-6800,E,,Public,24 hours daily,,,,,,4,,,,,GPS,34.06872,-118.064,2018-05-03,1583,2018-05-03 14:44:18 UTC,SG,,,1996-10-15,,,,,J1772,US,,,,Public,,public,,
ELEC,HP PALO ALTO,3000 Hanover St,"B20-SECURITY #2; The station is located on the south side of Building 20
B20-SECURITY #3
B20-SECURITY #4; The station is located on the south side of Building 20
UNIT 1; - HP use only
UNIT 2; For HP use only
UNIT 3; HP use only
UNIT 4; HP use only",Palo Alto,CA,94304,,888-758-4389,E,,Public,24 hours daily,,,,,,14,,,ChargePoint Network,http://www.chargepoint.com/,200-8,37.416434,-122.145904,2018-11-18,1593,2018-11-18 10:09:00 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,Scripps Green Hospital,10666 N Torrey Pines Rd,"Patient Parking Structure, level G",La Jolla,CA,92037,,858-554-9100,E,,Public,24 hours daily,,,,,,2,,,,,GPS,32.89947,-117.243,2018-05-03,6355,2018-05-03 14:44:18 UTC,P,,,1997-07-30,,,,,J1772,US,,,,Public,,public,,
ELEC,Santa Monica Place Mall Garage #7 Civic Center,395 Broadway,1st floor of parking garage,Santa Monica,CA,90401,,310-458-8516,E,,Public,24 hours daily; pay lot,,,,,,2,,1 SP Inductive,,,200-9,34.013658,-118.493749,2018-05-03,6377,2018-05-03 14:44:18 UTC,LG,,,1997-07-30,,,,,J1772,US,,,,Public,,public,,
ELEC,San Diego Wild Animal Park,15500 San Pasqual Valley Rd,,Escondido,CA,92027,,760-747-8702,E,,Public,24 hours daily,,,,,,2,,,,,200-9,33.098589,-117.004433,2018-05-03,6384,2018-05-03 14:44:18 UTC,P,,,2014-09-02,,,,,J1772,US,,,,Public,,public,,
