date,Toyota 4Runner,Nissan Pathfinder,Ford Explorer,Jeep Grand Cherokee,Dodge Durango,Hyundai Santa Fe,Toyota Highlander,Honda Pilot,Kia Sorento,Nissan Murano,Volkswagen Touareg,Ford Edge,GMC Acadia,Buick Enclave,Mazda CX-9,Chevrolet Traverse,Ford Flex,Buick Envision,Volkswagen Atlas
1985,18878,,,,,,,,,,,,,,,,,,
1986,35682,6901,,,,,,,,,,,,,,,,,
1987,35057,34313,,,,,,,,,,,,,,,,,
1988,28603,30042,,,,,,,,,,,,,,,,,
1989,44644,17012,,,,,,,,,,,,,,,,,
1990,48453,33031,159626,,,,,,,,,,,,,,,,
1991,44881,39500,250059,,,,,,,,,,,,,,,,
1992,,,306681,128960,,,,,,,,,,,,,,,
1993,,,302201,217430,,,,,,,,,,,,,,,
1994,74109,,278065,238512,,,,,,,,,,,,,,,
1995,75962,69934,395227,252168,,,,,,,,,,,,,,,
1996,99597,,402663,279195,,,,,,,,,,,,,,,
1997,128496,,383852,260875,,,,,,,,,,,,,,,
1998,118484,68003,431488,229135,156923,,,,,,,,,,,,,,
1999,124221,65968,428772,300031,189840,,,,,,,,,,,,,,
2000,111797,68533,445157,271723,173567,10332,,,,,,,,,,,,,
2001,90250,64515,415921,223612,130799,56017,86699,,,,,,,,,,,,
2002,77026,57384,433847,224233,106925,78279,113134,52062,8451,2054,,,,,,,,,
2003,109307,35511,373118,207479,108010,101278,120174,106917,40787,56075,16410,,,,,,,,
2004,114212,38119,339333,182313,137148,111447,133077,128158,52878,62057,27706,,,,,,,,
2005,103829,76156,239788,213584,115439,68006,137409,143353,47610,74454,18050,,,,,,,,
2006,103086,73124,179229,139148,70606,63931,129794,152154,50672,81362,10163,2201,480,,,,,,
2007,87718,63056,137817,120937,45503,92421,127878,117146,36300,76358,8812,130125,72765,29286,25566,,,,
2008,47878,33555,78439,73678,21420,70994,104661,96746,29699,71401,6755,110798,66440,44706,26100,9456,14457,,
2009,19675,18341,52190,50328,3521,80343,83118,83901,24460,52546,4392,88548,53820,43150,21132,91074,38717,,
2010,46531,21438,60687,84635,572,76680,92121,102323,108985,53999,4713,118637,68295,55426,28908,106744,34227,,
2011,44316,25935,135704,127744,51697,74391,101252,116297,130235,53626,7535,121702,79288,58392,34421,107131,27428,,
2012,48753,42621,164207,154734,42589,71016,121054,114848,119597,51675,10553,127969,78280,56703,24442,85606,28224,,
2013,51625,88632,192397,174275,60727,88844,127572,126678,105649,44684,8233,129109,89793,60534,24628,96467,25953,,
2014,76906,79111,209994,183786,64398,107906,146127,108857,102520,47301,6961,108864,83972,62300,18496,103943,23822,,
2015,97034,82041,249251,195958,64186,118134,158915,136212,116249,62907,7037,124120,96393,62081,18048,119945,19570,,
2016,111952,81701,248507,212704,68691,131265,191379,120772,114733,86953,4223,134588,88466,52028,16051,116701,22668,14193,
2017,128296,81065,271131,240696,68761,133171,215775,127279,99684,76732,3545,142603,111276,48564,25828,123506,22389,41040,27119
