Year,Chevrolet Sonic,Honda Fit,Ford Fiesta,Hyundai Accent,Kia Soul,Nissan Versa,Toyota Yaris,Kia Rio,Toyota Prius C
1994,,,,,,,,,
1995,,,,46500,,,,,
1996,,,,53252,,,,,
1997,,,,40355,,,,35494,
1998,,,,30231,,,,54311,
1999,,,,41235,,,,82211,
2000,,,,66736,,,,16624,
2001,,,,79480,,,,51541,
2002,,,,71488,,,,51195,
2003,,,,56585,,,,41285,
2004,,,,43258,,,,38518,
2005,,,,41012,,,,30290,
2006,,27934,,34735,,22044,70308,28388,
2007,,56432,,36055,,79443,84799,33370,
2008,,79794,,50431,,85182,102328,36532,
2009,,67315,,68086,31621,82906,63743,34666,
2010,,54354,23273,51975,67110,99705,40076,24619,
2011,15778,59235,68574,55601,102267,99730,32704,20111,
2012,81247,49346,56775,61004,115778,113327,30589,40275,35753
2013,85646,53513,71073,60458,118079,117352,21342,40742,41979
2014,93518,59340,63192,63309,145316,139781,13274,35933,40570
2015,64775,52724,64458,61486,147133,144528,16779,23742,38469
2016,55255,56630,48807,79766,145768,132214,10872,28700,20452
2017,30290,49454,46249,58955,115712,106772,8653,16760,12415
